2022-03-03 15:19:44,360 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-03 15:19:44,972 - movie_logger - INFO - 네이버 영화 랭킹 4페이지 이동...!
2022-03-03 15:19:45,006 - movie_logger - INFO - 50-집으로 가는 길영화 제목 클릭...!
2022-03-03 15:19:46,500 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-03 15:19:46,538 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-03 15:19:46,568 - movie_logger - INFO - iframe 전환
2022-03-03 15:20:03,297 - movie_logger - INFO - 235,
2022-03-03 15:20:03,355 - movie_logger - INFO - 236,
2022-03-03 15:20:03,398 - movie_logger - INFO - 237,
2022-03-03 15:20:03,436 - movie_logger - INFO - 238,
2022-03-03 15:20:03,481 - movie_logger - INFO - 239,
2022-03-03 15:20:03,522 - movie_logger - INFO - 240,
2022-03-03 15:20:03,671 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:03,752 - movie_logger - INFO - 241,
2022-03-03 15:20:03,802 - movie_logger - INFO - 242,
2022-03-03 15:20:03,876 - movie_logger - INFO - 243,
2022-03-03 15:20:03,913 - movie_logger - INFO - 244,
2022-03-03 15:20:03,952 - movie_logger - INFO - 245,
2022-03-03 15:20:03,993 - movie_logger - INFO - 246,
2022-03-03 15:20:04,035 - movie_logger - INFO - 247,
2022-03-03 15:20:04,076 - movie_logger - INFO - 248,
2022-03-03 15:20:04,117 - movie_logger - INFO - 249,
2022-03-03 15:20:04,156 - movie_logger - INFO - 250,
2022-03-03 15:20:04,344 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:04,432 - movie_logger - INFO - 251,
2022-03-03 15:20:04,482 - movie_logger - INFO - 252,
2022-03-03 15:20:04,558 - movie_logger - INFO - 253,
2022-03-03 15:20:04,595 - movie_logger - INFO - 254,
2022-03-03 15:20:04,636 - movie_logger - INFO - 255,
2022-03-03 15:20:04,679 - movie_logger - INFO - 256,
2022-03-03 15:20:04,720 - movie_logger - INFO - 257,
2022-03-03 15:20:04,759 - movie_logger - INFO - 258,
2022-03-03 15:20:04,798 - movie_logger - INFO - 259,
2022-03-03 15:20:04,839 - movie_logger - INFO - 260,
2022-03-03 15:20:04,990 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:05,071 - movie_logger - INFO - 261,
2022-03-03 15:20:05,122 - movie_logger - INFO - 262,
2022-03-03 15:20:05,203 - movie_logger - INFO - 263,
2022-03-03 15:20:05,248 - movie_logger - INFO - 264,
2022-03-03 15:20:05,290 - movie_logger - INFO - 265,
2022-03-03 15:20:05,340 - movie_logger - INFO - 266,
2022-03-03 15:20:05,392 - movie_logger - INFO - 267,
2022-03-03 15:20:05,430 - movie_logger - INFO - 268,
2022-03-03 15:20:05,471 - movie_logger - INFO - 269,
2022-03-03 15:20:05,513 - movie_logger - INFO - 270,
2022-03-03 15:20:05,660 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:05,747 - movie_logger - INFO - 271,
2022-03-03 15:20:05,828 - movie_logger - INFO - 272,
2022-03-03 15:20:05,865 - movie_logger - INFO - 273,
2022-03-03 15:20:05,904 - movie_logger - INFO - 274,
2022-03-03 15:20:05,943 - movie_logger - INFO - 275,
2022-03-03 15:20:05,985 - movie_logger - INFO - 276,
2022-03-03 15:20:06,026 - movie_logger - INFO - 277,
2022-03-03 15:20:06,064 - movie_logger - INFO - 278,
2022-03-03 15:20:06,105 - movie_logger - INFO - 279,
2022-03-03 15:20:06,145 - movie_logger - INFO - 280,
2022-03-03 15:20:06,291 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:06,387 - movie_logger - INFO - 281,
2022-03-03 15:20:06,459 - movie_logger - INFO - 282,
2022-03-03 15:20:06,546 - movie_logger - INFO - 283,
2022-03-03 15:20:06,584 - movie_logger - INFO - 284,
