2022-03-07 17:03:53,405 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:03:53,947 - movie_logger - INFO - 네이버 영화 랭킹 4페이지 이동...!
2022-03-07 17:03:53,985 - movie_logger - INFO - 50-집으로 가는 길영화 제목 클릭...!
2022-03-07 17:03:55,510 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:03:55,552 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:03:55,578 - movie_logger - INFO - iframe 전환
2022-03-07 17:05:37,003 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:05:37,567 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:05:37,603 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:05:39,025 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:05:39,061 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:05:39,090 - movie_logger - INFO - iframe 전환
2022-03-07 17:08:43,349 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:08:43,887 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:08:43,948 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:08:45,343 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:08:45,390 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:08:45,420 - movie_logger - INFO - iframe 전환
2022-03-07 17:12:51,020 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:12:51,631 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:12:51,670 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:12:53,059 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:12:53,096 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:12:53,127 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:40,023 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:23:40,574 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:23:40,608 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:23:41,920 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:23:41,959 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:23:41,988 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:54,939 - movie_logger - INFO - 182,
2022-03-07 17:23:55,009 - movie_logger - INFO - 183,
2022-03-07 17:23:55,069 - movie_logger - INFO - 184,
2022-03-07 17:23:55,136 - movie_logger - INFO - 185,
2022-03-07 17:23:55,196 - movie_logger - INFO - 186,
2022-03-07 17:23:55,255 - movie_logger - INFO - 187,
2022-03-07 17:23:55,311 - movie_logger - INFO - 188,
2022-03-07 17:23:55,365 - movie_logger - INFO - 189,
2022-03-07 17:23:55,426 - movie_logger - INFO - 190,
2022-03-07 17:23:55,608 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:55,692 - movie_logger - INFO - 191,
2022-03-07 17:23:55,764 - movie_logger - INFO - 192,
2022-03-07 17:23:55,826 - movie_logger - INFO - 193,
2022-03-07 17:23:55,885 - movie_logger - INFO - 194,
2022-03-07 17:23:55,947 - movie_logger - INFO - 195,
2022-03-07 17:23:56,008 - movie_logger - INFO - 196,
2022-03-07 17:23:56,066 - movie_logger - INFO - 197,
2022-03-07 17:23:56,129 - movie_logger - INFO - 198,
2022-03-07 17:23:56,192 - movie_logger - INFO - 199,
2022-03-07 17:23:56,257 - movie_logger - INFO - 200,
2022-03-07 17:23:56,432 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:56,503 - movie_logger - INFO - 201,
2022-03-07 17:23:56,564 - movie_logger - INFO - 202,
2022-03-07 17:23:56,623 - movie_logger - INFO - 203,
2022-03-07 17:23:56,690 - movie_logger - INFO - 204,
2022-03-07 17:23:56,747 - movie_logger - INFO - 205,
2022-03-07 17:23:56,807 - movie_logger - INFO - 206,
2022-03-07 17:23:56,863 - movie_logger - INFO - 207,
2022-03-07 17:23:56,926 - movie_logger - INFO - 208,
2022-03-07 17:23:56,986 - movie_logger - INFO - 209,
2022-03-07 17:23:57,047 - movie_logger - INFO - 210,
2022-03-07 17:23:57,217 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:57,286 - movie_logger - INFO - 211,
2022-03-07 17:23:57,342 - movie_logger - INFO - 212,
2022-03-07 17:23:57,399 - movie_logger - INFO - 213,
2022-03-07 17:23:57,455 - movie_logger - INFO - 214,
2022-03-07 17:23:57,517 - movie_logger - INFO - 215,
2022-03-07 17:23:57,578 - movie_logger - INFO - 216,
2022-03-07 17:23:57,643 - movie_logger - INFO - 217,
2022-03-07 17:23:57,700 - movie_logger - INFO - 218,
